model,price,year,mileage,location,tax,seller_type
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Gading,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,100,000",2024,"7,500 km",Kota Depok,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,450,000",2021,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,000,000",2021,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kab. Bekasi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2023,"2,500 km",Kota Malang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2023,"2,500 km",Kota Malang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2023,"7,500 km",Kota Malang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,100,000",2019,"15,000 km",Kota Bekasi,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp23,100,000",2021,"30,000 km",Kab. Bekasi,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"7,500 km",,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,500,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,500,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,600,000",2018,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,800,000",2020,"30,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp16,300,000",2016,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,400,000",2017,"30,000 km",Kab. Lebak,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,400,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,500,000",2021,"30,000 km",Bandung Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,000,000",2018,"15,000 km",Kota Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp26,500,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,900,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,450,000",2021,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,100,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer
HONDA NEW VARIO CW FI,"Rp13,100,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Karah,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp21,700,000",2022,"15,000 km",Kota Malang,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,900,000",2022,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,100,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,900,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp26,500,000",2024,"7,500 km",Kota Tangerang,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,500,000",2019,"15,000 km",Kota Jakarta Utara,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,500,000",2023,"15,000 km",,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp23,100,000",2022,"15,000 km",Kota Bekasi,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,600,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,700,000",2019,"15,000 km",Kab. Magelang,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,200,000",2019,"30,000 km",Kab. Magelang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2017,"30,000 km",Kab. Magelang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,400,000",2020,"15,000 km",Kab. Magelang,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,900,000",2023,"15,000 km",Kab. Magelang,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,400,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,600,000",2021,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,400,000",2018,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,300,000",2018,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,100,000",2017,"30,000 km",Pegirian,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,600,000",2021,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,600,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2021,"30,000 km",Kota Bambu Utara,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,800,000",2022,"30,000 km",Kota Bambu Utara,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,400,000",2021,"30,000 km",Kab. Sumedang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,300,000",2022,"7,500 km",Kota Depok,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,500,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,500,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,500,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,300,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp23,500,000",2023,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,100,000",2021,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,100,000",2020,"30,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,500,000",2019,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,900,000",2022,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,000,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,500,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"7,500 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp25,000,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp24,300,000",2024,"7,500 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,600,000",2021,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,400,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp21,800,000",2022,"15,000 km",Kendangsari,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,200,000",2020,"30,000 km",Kendangsari,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2023,"15,000 km",Bubutan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,500 km,Kota Tangerang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,"2,500 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,500,000",2017,"30,000 km",Kota Malang,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,800,000",2018,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp15,900,000",2016,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,900,000",2020,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Gading,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2023,"2,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,500,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,000,000",2021,"15,000 km",Kota Surabaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,400,000",2023,"2,500 km",Kota Bekasi,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,500,000",2018,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,900,000",2023,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,300,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp14,600,000",2017,"30,000 km",Kota Bekasi,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"7,500 km",Gaharu,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,100,000",2021,"15,000 km",Percut,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,600,000",2022,"15,000 km",Percut,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,000,000",2018,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Kota Malang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp14,500,000",2016,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,400,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,600,000",2023,"7,500 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2020,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,300,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,700,000",2019,"15,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2016,"15,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,400,000",2020,"15,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,400,000",2016,"30,000 km",Kab.sleman,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp22,200,000",2023,"2,500 km",Gading,hidup,dealer
HONDA VARIO 125ESP CBS ISS,"Rp21,200,000",2022,"2,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,900,000",2022,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,900,000",2022,500 km,Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,800,000",2021,"15,000 km",Kota Depok,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp17,500,000",2019,"15,000 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,000,000",2016,"30,000 km",Manunggal,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"7,500 km",Kota Matsum I,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Kota Matsum I,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Kota Matsum I,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,500,000",2023,"2,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,800,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp17,100,000",2019,"30,000 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,000,000",2021,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,200,000",2021,"30,000 km",Kebonagung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"7,500 km",Kertajaya,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,100,000",2017,"30,000 km",Kertajaya,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Kertajaya,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp14,700,000",2016,"30,000 km",Bubutan,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,600,000",2017,"30,000 km",Banjarbendo,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,700,000",2022,"15,000 km",Banjarbendo,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp19,900,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2020,"15,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp17,100,000",2017,"30,000 km",Banjarbendo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"30,000 km",Sumokali,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,400,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp18,900,000",2018,"7,500 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Sumokali,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Suko Manunggal,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,600,000",2022,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,000,000",2016,"30,000 km",Puji Mulyo,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,100,000",2022,"15,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,100,000",2016,"30,000 km",Puji Mulyo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp22,300,000",2021,"30,000 km",Kampung Tengah,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp23,100,000",2021,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"7,500 km",Karah,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp19,900,000",2019,"30,000 km",Gayungan,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,200,000",2020,"15,000 km",Gayungan,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp20,500,000",2022,"7,500 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp18,500,000",2018,"30,000 km",Ngrowo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2019,"15,000 km",Ngrowo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp17,000,000",2016,"30,000 km",Ngrowo,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp22,300,000",2021,"30,000 km",Ngrowo,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp21,900,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp23,800,000",2022,"7,500 km",Kertajaya,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,800,000",2017,"30,000 km",Denai,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,000,000",2016,"30,000 km",Denai,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp16,800,000",2017,"30,000 km",Denai,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,100,000",2018,"30,000 km",Denai,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,100,000",2023,"7,500 km",Percut,hidup,dealer
HONDA NEW VARIO TECHNO,"Rp13,800,000",2016,"30,000 km",Gaharu,hidup,dealer
HONDA VARIO 125 ESPCBS ISS,"Rp20,900,000",2022,"15,000 km",Kota Bogor,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,500,000",2020,"30,000 km",Kab. Bekasi,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,600,000",2021,"15,000 km",Telaga Sari,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp20,100,000",2020,"30,000 km",Telaga Sari,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,500 km,Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,600,000",2022,"15,000 km",Telaga Sari,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp22,100,000",2023,"7,500 km",Telaga Sari,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp20,000,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,400,000",2023,"7,500 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp22,100,000",2024,"7,500 km",Kota Tangerang Selatan,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp19,000,000",2019,"15,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,500,000",2022,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp21,900,000",2020,"30,000 km",Kota Malang,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,950,000",2024,500 km,Kota Depok,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp23,300,000",2023,"30,000 km",Kota Depok,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp16,400,000",2018,"30,000 km",Kota Depok,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp24,800,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 150 ESP EXCLSV,"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer
HONDA ALN VARIO 160 CBS,"Rp22,400,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
HONDA VARIO 125 ESP CBS,"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer
HONDA ALN VARIO 160 ABS,"Rp25,200,000",2022,"30,000 km",Kota Denpasar,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp19,800,000",2018,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 150 ESP SPORTY,"Rp15,900,000",2016,"30,000 km",Kab. Bandung,hidup,dealer
HONDA VARIO 125 CBS ISS,"Rp21,000,000",2022,"15,000 km",Kota Tangerang,hidup,dealer
